ID_ESCOLA;CO_PROFESSOR;ID_SERIE;TX_RESP_Q053;TX_RESP_Q054;TX_RESP_Q055;TX_RESP_Q056;TX_RESP_Q057;TX_RESP_Q058;TX_RESP_Q059;TX_RESP_Q060;TX_RESP_Q061;TX_RESP_Q062;TX_RESP_Q063;TX_RESP_Q064;TX_RESP_Q065;TX_RESP_Q066;TX_RESP_Q067;TX_RESP_Q068;TX_RESP_Q069
35029713;2017375881;9;E;E;E;C;C;D;D;D;D;D;D;C;C;C;C;C;C
35018348;2017027320;5;C;E;E;E;D;C;C;C;C;C;C;C;C;C;C;C;C
35018348;2017453277;5;C;D;D;D;C;C;D;D;D;D;D;D;C;D;D;C;C
35018348;2017261528;5;C;D;D;D;D;C;C;C;C;C;C;C;C;C;C;C;C
35018399;2017453279;5;C;E;E;E;D;C;C;C;C;C;C;C;C;C;C;C;C
35018399;2017275944;5;E;E;E;E;D;D;D;D;D;D;D;D;D;D;D;D;C
35018600;2017233318;5;B;E;E;E;C;B;D;D;D;D;D;C;C;C;D;C;C
35018600;2017041309;5;E;E;E;C;C;D;D;D;D;D;D;C;C;C;D;C;C
35018600;2017013152;5;E;E;D;E;D;D;D;D;C;C;C;C;C;C;C;C;C
35018600;2017439315;5;E;E;E;E;D;C;C;C;C;C;C;B;D;C;C;D;D
35018600;2017226103;5;C;E;E;E;C;C;C;C;C;D;D;C;C;D;D;C;C
35018818;2017197529;5;D;E;E;E;D;C;D;D;D;D;D;D;D;D;D;D;D
35018818;2017155160;9;D;E;E;E;B;C;C;B;B;B;B;B;B;D;D;C;B
35018818;2017105536;9;D;E;E;E;B;C;C;B;B;B;B;B;B;D;D;C;B
35018818;2017354247;5;C;E;E;E;E;C;D;D;D;D;D;D;D;D;D;D;D
35018818;2017105537;9;A;E;E;E;D;C;C;B;C;C;C;C;C;C;C;B;B
35018818;2017155161;9;A;E;E;E;D;C;C;B;C;C;C;C;C;C;C;B;B
35018934;2017006142;5;C;C;E;E;E;C;D;D;C;D;C;D;D;D;D;D;C
35018934;2017275952;5;C;E;E;C;C;D;D;C;C;C;C;D;C;D;D;D;D
35018934;2017062722;5;E;E;E;E;C;D;D;D;D;D;D;D;D;D;D;D;D
35040859;2017389721;9;C;C;E;D;C;B;D;D;C;C;C;B;B;D;D;D;B
35040859;2017389943;5;C;E;E;E;E;C;C;B;B;C;C;D;C;D;C;D;D
35040859;2017404007;9;C;C;E;D;C;B;D;D;C;C;C;B;B;D;D;D;B
35040859;2017247606;9;C;C;E;D;C;B;D;D;C;C;C;B;B;D;D;D;B
35040859;2017304316;9;C;C;E;D;C;B;D;D;C;C;C;B;B;D;D;D;B
35040859;2017254686;9;C;C;E;D;C;B;D;D;C;C;C;B;B;D;D;D;B
35040859;2017446407;9;C;C;E;D;C;B;D;D;C;C;C;B;B;D;D;D;B
35040859;2017112744;5;C;E;E;E;D;C;C;C;C;C;C;C;C;C;C;C;C
35040859;2017404006;9;B;A;B;C;C;B;C;C;C;C;C;C;C;C;C;C;C
35042614;2017276199;5;E;E;E;E;D;C;C;C;C;D;C;C;C;D;C;D;C
35042614;2017219361;5;B;C;D;D;C;B;C;B;B;C;B;B;B;C;B;B;B
35046176;2017226401;5;C;A;D;C;B;B;B;B;B;B;B;A;A;B;B;B;A
35046176;2017063018;5;B;D;E;E;B;C;D;C;C;C;C;C;C;D;D;D;D
35046176;2017098689;5;B;E;E;E;E;D;D;D;C;C;C;C;C;C;C;C;C
35902385;2017205523;9;E;E;E;E;D;C;D;D;D;D;D;D;D;D;D;D;D
35902385;2017376634;9;E;E;E;E;D;C;D;D;D;D;D;D;D;D;D;D;D
35902385;2017376633;9;D;E;C;D;D;C;D;D;C;C;C;B;B;C;C;C;C
35912384;2017127529;9;B;C;C;D;A;B;D;D;D;D;D;B;B;C;C;C;B
35912384;2017170117;5;B;E;E;E;C;C;D;D;D;D;D;D;D;D;D;D;D
35912384;2017454201;9;C;D;E;D;D;B;D;D;C;C;C;C;C;C;D;D;C
35912384;2017355220;9;C;C;E;E;A;B;B;B;A;C;B;A;A;B;B;A;A
35912384;2017163283;9;C;C;E;E;A;B;B;B;A;C;B;A;A;B;B;A;A
35912384;2017184342;9;C;C;E;E;A;B;B;B;A;C;B;A;A;B;B;A;A
35912384;2017390610;5;D;E;E;E;D;B;C;B;C;B;B;B;B;B;C;B;C
35912384;2017134674;9;C;C;E;E;A;B;B;B;A;C;B;A;A;B;B;A;A
35912384;2017397688;5;C;E;E;E;C;B;B;B;B;B;B;B;B;B;D;D;B
35912384;2017184343;9;B;D;E;E;A;B;C;C;C;C;C;B;B;D;D;D;C
35912384;2017163284;9;B;D;E;E;A;B;C;C;C;C;C;B;B;D;D;D;C
35912384;2017355221;9;B;D;E;E;A;B;C;C;C;C;C;B;B;D;D;D;C
35912384;2017454202;9;B;D;E;E;A;B;C;C;C;C;C;B;B;D;D;D;C
35912384;2017127530;9;A;C;C;C;B;C;C;B;B;B;C;B;A;B;C;C;B
35912384;2017134675;9;A;C;C;C;B;C;C;B;B;B;C;B;A;B;C;C;B
35923400;2017106413;9;C;A;E;E;C;C;C;C;C;C;C;C;C;C;C;C;C
35923400;2017134738;9;C;A;E;E;C;C;C;C;C;C;C;C;C;C;C;C;C
35923400;2017418800;9;C;A;E;E;C;C;C;C;C;C;C;C;C;C;C;C;C
35923400;2017227071;9;B;C;E;E;A;C;C;B;C;B;B;D;D;D;D;B;B
35923400;2017227072;9;C;D;E;E;E;C;D;A;D;D;D;D;D;D;D;D;D
35923400;2017227072;9;C;D;E;E;E;C;D;A;D;D;D;D;D;D;D;D;D
35923400;2017106414;9;C;D;E;E;E;C;D;A;D;D;D;D;D;D;D;D;D
35923400;2017106414;9;C;D;E;E;E;C;D;A;D;D;D;D;D;D;D;D;D
